className;stack;average;repetitions
PriorityQueueArray;1024;270;50
PriorityQueueArray;2048;166;50
PriorityQueueArray;4096;145;50
PriorityQueueArray;8192;314;50
PriorityQueueArray;12288;218;50
PriorityQueueArray;16384;207;50
PriorityQueueArray;24576;213;50
PriorityQueueArray;32768;243;50
PriorityQueueHeap;1024;166;50
PriorityQueueHeap;2048;157;50
PriorityQueueHeap;4096;165;50
PriorityQueueHeap;8192;179;50
PriorityQueueHeap;12288;189;50
PriorityQueueHeap;16384;300;50
PriorityQueueHeap;24576;268;50
PriorityQueueHeap;32768;301;50
PriorityQueueHeapMap;1024;242;50
PriorityQueueHeapMap;2048;264;50
PriorityQueueHeapMap;4096;321;50
PriorityQueueHeapMap;8192;324;50
PriorityQueueHeapMap;12288;337;50
PriorityQueueHeapMap;16384;322;50
PriorityQueueHeapMap;24576;330;50
PriorityQueueHeapMap;32768;344;50
PriorityQueueList;1024;289;50
PriorityQueueList;2048;272;50
PriorityQueueList;4096;281;50
PriorityQueueList;8192;291;50
PriorityQueueList;12288;277;50
PriorityQueueList;16384;254;50
PriorityQueueList;24576;265;50
PriorityQueueList;32768;281;50
