className;stack;average;repetitions
PriorityQueueArray;1024;370;100
PriorityQueueArray;2048;235;100
PriorityQueueArray;4096;262;100
PriorityQueueArray;8192;281;100
PriorityQueueArray;12288;388;100
PriorityQueueArray;16384;305;100
PriorityQueueArray;24576;379;100
PriorityQueueArray;32768;404;100
PriorityQueueHeap;1024;389;100
PriorityQueueHeap;2048;447;100
PriorityQueueHeap;4096;389;100
PriorityQueueHeap;8192;401;100
PriorityQueueHeap;12288;614;100
PriorityQueueHeap;16384;658;100
PriorityQueueHeap;24576;663;100
PriorityQueueHeap;32768;694;100
PriorityQueueHeapMap;1024;668;100
PriorityQueueHeapMap;2048;769;100
PriorityQueueHeapMap;4096;718;100
PriorityQueueHeapMap;8192;798;100
PriorityQueueHeapMap;12288;765;100
PriorityQueueHeapMap;16384;737;100
PriorityQueueHeapMap;24576;687;100
PriorityQueueHeapMap;32768;726;100
PriorityQueueList;1024;101294;100
PriorityQueueList;2048;178489;100
PriorityQueueList;4096;416756;100
PriorityQueueList;8192;691812;100
PriorityQueueList;12288;1.00327e+06;100
PriorityQueueList;16384;1.38363e+06;100
PriorityQueueList;24576;2.00034e+06;100
PriorityQueueList;32768;2.40531e+06;100
